YEAR,MO,DY,Distribuidora,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR,Distribuidora
2025,3,25,Corozal,31.45,22.65,27.05,32.7,11.99,38.01,26.02,17.31,62.62,2.86,Corozal
2025,3,26,Corozal,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Corozal
2025,3,27,Corozal,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Corozal
2025,3,28,Corozal,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Corozal
2025,3,29,Corozal,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Corozal
2025,3,30,Corozal,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Corozal
2025,3,31,Corozal,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Corozal
2025,3,1,Bogota Sur,17.79,15.79,16.79,17.82,5.15,21.11,15.96,13.81,88.76,31.49,Bogota Sur
2025,3,2,Bogota Sur,17.14,15.64,16.39,17.04,3.27,19.07,15.8,13.68,91.21,24.74,Bogota Sur
2025,3,3,Bogota Sur,17.63,15.49,16.56,17.52,6.33,21.67,15.34,13.54,88.04,15.64,Bogota Sur
2025,3,4,Bogota Sur,17.67,15.57,16.62,17.5,5.96,21.27,15.31,13.62,88.26,17.04,Bogota Sur
2025,3,5,Bogota Sur,16.85,15.89,16.37,16.77,2.21,18.17,15.96,13.92,94.23,36.9,Bogota Sur
2025,3,6,Bogota Sur,16.26,15.09,15.68,16.02,2.58,17.92,15.34,13.19,93.0,38.65,Bogota Sur
2025,3,7,Bogota Sur,16.71,15.06,15.89,16.51,5.71,20.21,14.5,13.15,90.51,13.85,Bogota Sur
2025,3,8,Bogota Sur,17.8,15.04,16.42,17.79,7.13,22.28,15.15,13.12,85.13,11.0,Bogota Sur
2025,3,9,Bogota Sur,18.08,14.83,16.45,18.14,9.92,23.61,13.69,12.97,83.24,4.15,Bogota Sur
